Month,sustainable it: (Worldwide)
2010-01,8
2010-02,11
2010-03,11
2010-04,12
2010-05,12
2010-06,10
2010-07,8
2010-08,7
2010-09,11
2010-10,12
2010-11,11
2010-12,7
2011-01,12
2011-02,12
2011-03,13
2011-04,14
2011-05,13
2011-06,11
2011-07,9
2011-08,10
2011-09,11
2011-10,13
2011-11,15
2011-12,10
2012-01,12
2012-02,14
2012-03,13
2012-04,13
2012-05,14
2012-06,13
2012-07,10
2012-08,10
2012-09,15
2012-10,16
2012-11,14
2012-12,10
2013-01,12
2013-02,13
2013-03,14
2013-04,15
2013-05,13
2013-06,10
2013-07,9
2013-08,9
2013-09,13
2013-10,15
2013-11,16
2013-12,12
2014-01,12
2014-02,16
2014-03,16
2014-04,15
2014-05,15
2014-06,11
2014-07,10
2014-08,10
2014-09,15
2014-10,16
2014-11,15
2014-12,11
2015-01,12
2015-02,15
2015-03,15
2015-04,15
2015-05,14
2015-06,12
2015-07,9
2015-08,12
2015-09,17
2015-10,17
2015-11,16
2015-12,13
2016-01,15
2016-02,19
2016-03,19
2016-04,21
2016-05,19
2016-06,15
2016-07,12
2016-08,12
2016-09,18
2016-10,18
2016-11,20
2016-12,17
2017-01,18
2017-02,25
2017-03,24
2017-04,21
2017-05,21
2017-06,14
2017-07,12
2017-08,17
2017-09,20
2017-10,23
2017-11,21
2017-12,15
2018-01,17
2018-02,21
2018-03,23
2018-04,23
2018-05,23
2018-06,16
2018-07,14
2018-08,19
2018-09,25
2018-10,23
2018-11,23
2018-12,17
2019-01,41
2019-02,24
2019-03,24
2019-04,25
2019-05,25
2019-06,22
2019-07,15
2019-08,18
2019-09,27
2019-10,29
2019-11,28
2019-12,22
2020-01,26
2020-02,32
2020-03,29
2020-04,36
2020-05,40
2020-06,34
2020-07,27
2020-08,28
2020-09,47
2020-10,49
2020-11,42
2020-12,41
2021-01,38
2021-02,46
2021-03,48
2021-04,55
2021-05,53
2021-06,44
2021-07,34
2021-08,31
2021-09,53
2021-10,59
2021-11,61
2021-12,45
2022-01,63
2022-02,82
2022-03,94
2022-04,100
2022-05,94
2022-06,67
2022-07,45
2022-08,44
2022-09,72
2022-10,67
2022-11,69
2022-12,60
2023-01,63
2023-02,76
2023-03,83
2023-04,79
2023-05,88
2023-06,62
2023-07,44
2023-08,46
2023-09,69
2023-10,74
2023-11,69
2023-12,64
2024-01,65
