Month,sustainable software: (Worldwide)
2010-01,34
2010-02,28
2010-03,27
2010-04,25
2010-05,0
2010-06,32
2010-07,19
2010-08,21
2010-09,30
2010-10,29
2010-11,22
2010-12,21
2011-01,23
2011-02,21
2011-03,19
2011-04,24
2011-05,16
2011-06,32
2011-07,16
2011-08,17
2011-09,30
2011-10,28
2011-11,14
2011-12,16
2012-01,23
2012-02,22
2012-03,26
2012-04,22
2012-05,20
2012-06,15
2012-07,26
2012-08,15
2012-09,24
2012-10,27
2012-11,17
2012-12,13
2013-01,17
2013-02,12
2013-03,19
2013-04,21
2013-05,21
2013-06,15
2013-07,18
2013-08,18
2013-09,16
2013-10,21
2013-11,18
2013-12,11
2014-01,21
2014-02,24
2014-03,21
2014-04,24
2014-05,19
2014-06,14
2014-07,14
2014-08,11
2014-09,20
2014-10,17
2014-11,18
2014-12,13
2015-01,19
2015-02,22
2015-03,21
2015-04,19
2015-05,17
2015-06,16
2015-07,18
2015-08,15
2015-09,20
2015-10,20
2015-11,16
2015-12,13
2016-01,20
2016-02,32
2016-03,19
2016-04,12
2016-05,23
2016-06,20
2016-07,19
2016-08,12
2016-09,22
2016-10,26
2016-11,25
2016-12,19
2017-01,18
2017-02,22
2017-03,25
2017-04,34
2017-05,17
2017-06,20
2017-07,24
2017-08,25
2017-09,23
2017-10,29
2017-11,30
2017-12,24
2018-01,23
2018-02,26
2018-03,21
2018-04,17
2018-05,19
2018-06,22
2018-07,20
2018-08,20
2018-09,21
2018-10,27
2018-11,24
2018-12,17
2019-01,23
2019-02,23
2019-03,19
2019-04,16
2019-05,20
2019-06,15
2019-07,20
2019-08,16
2019-09,26
2019-10,23
2019-11,22
2019-12,16
2020-01,25
2020-02,25
2020-03,25
2020-04,25
2020-05,19
2020-06,23
2020-07,28
2020-08,18
2020-09,33
2020-10,37
2020-11,26
2020-12,51
2021-01,34
2021-02,41
2021-03,40
2021-04,43
2021-05,27
2021-06,30
2021-07,32
2021-08,31
2021-09,53
2021-10,48
2021-11,52
2021-12,47
2022-01,70
2022-02,100
2022-03,86
2022-04,74
2022-05,81
2022-06,65
2022-07,51
2022-08,53
2022-09,56
2022-10,61
2022-11,54
2022-12,46
2023-01,57
2023-02,71
2023-03,72
2023-04,53
2023-05,47
2023-06,53
2023-07,50
2023-08,54
2023-09,65
2023-10,63
2023-11,57
2023-12,54
2024-01,60
